"","X","incident_id","data_year","ori","pug_agency_name","pub_agency_unit","agency_type_name","state_abbr","state_name","division_name","region_name","population_group_code","population_group_description","incident_date","adult_victim_count","juvenile_victim_count","total_offender_count","adult_offender_count","juvenile_offender_count","offender_race","offender_ethnicity","victim_count","offense_name","total_individual_victims","location_name","bias_desc","victim_types","multiple_offense","multiple_bias","Anti.Black.or.African.American","Anti.White","Anti.Arab","Anti.Protestant","Anti.Islamic..Muslim.","Anti.Gay..Male.","Anti.Asian","Anti.Catholic","Anti.Multiple.Religions..Group","Anti.Hispanic.or.Latino","Anti.Lesbian..Female.","Anti.Other.Race.Ethnicity.Ancestry","Anti.Jewish","Anti.American.Indian.or.Alaska.Native","Anti.Lesbian..Gay..Bisexual..or.Transgender..Mixed.Group.","Anti.Heterosexual","Anti.Atheism.Agnosticism","Anti.Bisexual","Anti.Physical.Disability","Anti.Mental.Disability","Anti.Jehovah.s.Witness","Anti.Church.of.Jesus.Christ","Anti.Buddhist","Anti.Sikh","Anti.Other.Christian","Anti.Hindu","Anti.Eastern.Orthodox..Russian..Greek..Other.","Anti.Transgender","Anti.Gender.Non.Conforming","Anti.Male","Aggravated.Assault","Intimidation","Simple.Assault","Robbery","Destruction.Damage.Vandalism.of.Property","Murder.and.Nonnegligent.Manslaughter","Arson","Burglary.Breaking...Entering","Not.Specified","Rape","Motor.Vehicle.Theft","Drug.Narcotic.Violations","Theft.From.Motor.Vehicle","All.Other.Larceny","Shoplifting","Weapon.Law.Violations","Theft.of.Motor.Vehicle.Parts.or.Accessories","Counterfeiting.Forgery","Fondling","Kidnapping.Abduction","Theft.From.Building","Pornography.Obscene.Material","Embezzlement","Purse.snatching","Drug.Equipment.Violations","Credit.Card.Automated.Teller.Machine.Fraud","Sexual.Assault.With.An.Object","False.Pretenses.Swindle.Confidence.Game","Pocket.picking","Welfare.Fraud","Extortion.Blackmail","Stolen.Property.Offenses","Incest","Negligent.Manslaughter","Sodomy","Statutory.Rape","Theft.From.Coin.Operated.Machine.or.Device","Impersonation","Prostitution","Wire.Fraud","Assisting.or.Promoting.Prostitution","Purchasing.Prostitution","Bribery","Identity.Theft","Human.Trafficking..Commercial.Sex.Acts","Hacking.Computer.Invasion","Betting.Wagering","Animal.Cruelty","Gambling.Equipment.Violation","Human.Trafficking..Involuntary.Servitude","Treason","Federal.Liquor.Offenses","anti_lgbt","StatePop"
"14",14,169773,2014,"CA0194200","Los Angeles","","City","CA","California","Pacific","West","1A","Cities 1,000,000 or over","5/4/14",0,0,1,0,0,"Black or African American","Not Specified",1,"Simple Assault",1,"Residence/Home","Anti-Transgender","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38596972
"15",15,169774,2014,"CA0194200","Los Angeles","","City","CA","California","Pacific","West","1A","Cities 1,000,000 or over","5/26/14",0,0,1,0,0,"Black or African American","Not Specified",2,"Simple Assault",2,"Highway/Road/Alley/Street/Sidewalk","Anti-Transgender","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38596972
"16",16,169775,2014,"CA0194200","Los Angeles","","City","CA","California","Pacific","West","1A","Cities 1,000,000 or over","9/1/14",0,0,30,0,0,"White","Not Specified",3,"Aggravated Assault",3,"Highway/Road/Alley/Street/Sidewalk","Anti-Transgender","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38596972
"17",17,169776,2014,"CA0194200","Los Angeles","","City","CA","California","Pacific","West","1A","Cities 1,000,000 or over","7/2/14",0,0,1,0,0,"Unknown","Not Specified",1,"Intimidation",1,"Residence/Home","Anti-Transgender","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38596972
"18",18,169779,2014,"CA0194300","Lynwood","","City","CA","California","Pacific","West","3","Cities from 50,000 thru 99,999","4/6/14",0,0,1,0,0,"Unknown","Not Specified",1,"Aggravated Assault",1,"Highway/Road/Alley/Street/Sidewalk","Anti-Transgender","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38596972
"19",19,169878,2014,"CA030430X","Lake Forest","","City","CA","California","Pacific","West","3","Cities from 50,000 thru 99,999","3/28/14",0,0,0,0,0,"Unknown","Not Specified",1,"Destruction/Damage/Vandalism of Property",1,"Residence/Home","Anti-Transgender","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38596972
"20",20,169917,2014,"CA0340000","Sacramento","","County","CA","California","Pacific","West","9A","MSA counties 100,000 or over","3/27/14",0,0,3,0,0,"Black or African American","Not Specified",1,"Simple Assault",1,"Parking/Drop Lot/Garage","Anti-Transgender","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38596972
"21",21,169955,2014,"CA036310X","Twentynine Palms","","City","CA","California","Pacific","West","4","Cities from 25,000 thru 49,999","6/18/14",0,0,1,0,0,"White","Not Specified",1,"Aggravated Assault",1,"Grocery/Supermarket","Anti-Transgender","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38596972
"22",22,170027,2014,"CA0371100","San Diego","","City","CA","California","Pacific","West","1A","Cities 1,000,000 or over","12/3/14",0,0,2,0,0,"White","Not Specified",1,"Aggravated Assault",1,"Highway/Road/Alley/Street/Sidewalk","Anti-Transgender","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38596972
"23",23,170028,2014,"CA0371100","San Diego","","City","CA","California","Pacific","West","1A","Cities 1,000,000 or over","12/3/14",0,0,1,0,0,"White","Not Specified",1,"Intimidation",1,"Highway/Road/Alley/Street/Sidewalk","Anti-Transgender","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38596972
"24",24,170030,2014,"CA0371100","San Diego","","City","CA","California","Pacific","West","1A","Cities 1,000,000 or over","2/16/14",0,0,2,0,0,"Black or African American","Not Specified",1,"Robbery",1,"Highway/Road/Alley/Street/Sidewalk","Anti-Transgender","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38596972
"25",25,170062,2014,"CA0380100","San Francisco","","City","CA","California","Pacific","West","1B","Cities from 500,000 thru 999,999","4/16/14",0,0,1,0,0,"White","Not Specified",1,"Simple Assault",1,"Air/Bus/Train Terminal","Anti-Transgender","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38596972
"26",26,170063,2014,"CA0380100","San Francisco","","City","CA","California","Pacific","West","1B","Cities from 500,000 thru 999,999","11/30/14",0,0,1,0,0,"White","Not Specified",1,"Intimidation",1,"Residence/Home","Anti-Transgender","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38596972
"27",27,170203,2014,"CO0010100","Aurora","","City","CO","Colorado","Mountain","West","1C","Cities from 250,000 thru 499,999","3/28/14",1,0,3,3,0,"Black or African American","Unknown",1,"Aggravated Assault",1,"Highway/Road/Alley/Street/Sidewalk","Anti-Transgender","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5350101
"28",28,170289,2014,"CT0001100","Bloomfield","","City","CT","Connecticut","New England","Northeast","5","Cities from 10,000 thru 24,999","9/18/14",1,0,0,0,0,"Unknown","Not Specified",1,"Theft From Building",1,"Other/Unknown","Anti-Bisexual","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3594524
"29",29,170290,2014,"CT0001100","Bloomfield","","City","CT","Connecticut","New England","Northeast","5","Cities from 10,000 thru 24,999","9/22/14",1,0,0,0,0,"Unknown","Not Specified",1,"All Other Larceny",1,"Bank/Savings and Loan","Anti-Bisexual","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3594524
"30",30,170300,2014,"CT0001700","Bristol","","City","CT","Connecticut","New England","Northeast","3","Cities from 50,000 thru 99,999","9/4/14",0,0,1,1,0,"White","Not Specified",1,"All Other Larceny",0,"Commercial/Office Building","Anti-Bisexual","Business","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3594524
"31",31,170416,2014,"DCMPD0000","Washington","","City","DC","District of Columbia","South Atlantic","South","1B","Cities from 500,000 thru 999,999","4/14/14",1,0,1,1,0,"Black or African American","Unknown",1,"Aggravated Assault",1,"Residence/Home","Anti-Transgender","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,662328
"32",32,170417,2014,"DCMPD0000","Washington","","City","DC","District of Columbia","South Atlantic","South","1B","Cities from 500,000 thru 999,999","4/15/14",1,0,1,1,0,"Black or African American","Unknown",1,"Robbery",1,"Residence/Home","Anti-Transgender","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,662328
"33",33,170420,2014,"DCMPD0000","Washington","","City","DC","District of Columbia","South Atlantic","South","1B","Cities from 500,000 thru 999,999","2/7/14",1,0,1,1,0,"Black or African American","Unknown",1,"Simple Assault",1,"Government/Public Building","Anti-Transgender","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,662328
"34",34,170424,2014,"DCMPD0000","Washington","","City","DC","District of Columbia","South Atlantic","South","1B","Cities from 500,000 thru 999,999","6/16/14",1,0,1,1,0,"Black or African American","Unknown",1,"Aggravated Assault",1,"Highway/Road/Alley/Street/Sidewalk","Anti-Transgender","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,662328
"35",35,170428,2014,"DCMPD0000","Washington","","City","DC","District of Columbia","South Atlantic","South","1B","Cities from 500,000 thru 999,999","5/15/14",1,0,1,1,0,"Unknown","Hispanic or Latino",1,"Aggravated Assault",1,"Residence/Home","Anti-Transgender","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,662328
"36",36,170444,2014,"DCMPD0000","Washington","","City","DC","District of Columbia","South Atlantic","South","1B","Cities from 500,000 thru 999,999","7/16/14",1,0,1,1,0,"Black or African American","Not Hispanic or Latino",2,"Aggravated Assault;Intimidation",1,"Highway/Road/Alley/Street/Sidewalk","Anti-Transgender","Individual","M","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,662328
"37",37,170445,2014,"DCMPD0000","Washington","","City","DC","District of Columbia","South Atlantic","South","1B","Cities from 500,000 thru 999,999","7/20/14",2,0,1,1,0,"White","Not Hispanic or Latino",2,"Simple Assault",2,"Bank/Savings and Loan","Anti-Transgender","Individual","S","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,662328
"38",38,170447,2014,"DCMPD0000","Washington","","City","DC","District of Columbia","South Atlantic","South","1B","Cities from 500,000 thru 999,999","7/25/14",2,0,1,1,0,"Black or African American","Not Hispanic or Latino",4,"Aggravated Assault;Intimidation",2,"Highway/Road/Alley/Street/Sidewalk","Anti-Transgender","Individual","M","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,662328
